id,eventcode,col3,col4,col5,time
679,201,0,0,0.0000,2416907
680,3,0,0,0.0000,2418587
681,202,0,0,0.0000,2419308
682,3,0,0,0.0000,2420912
683,202,0,0,0.0000,2421852
684,7,0,0,0.0000,2423179
685,201,0,0,0.0000,2423773
686,5,0,0,0.0000,2425563
687,202,0,0,0.0000,2426285
688,7,0,0,0.0000,2428088
689,201,0,0,0.0000,2428685
690,7,0,0,0.0000,2430529
691,201,0,0,0.0000,2431182
692,3,0,0,0.0000,2432913
693,202,0,0,0.0000,2433422
694,5,0,0,0.0000,2435304
695,202,0,0,0.0000,2436078
696,5,0,0,0.0000,2437746
697,201,0,0,0.0000,2438239
698,5,0,0,0.0000,2440205
699,201,0,0,0.0000,2440815
700,3,0,0,0.0000,2442763
701,202,0,0,0.0000,2443391
702,5,0,0,0.0000,2445130
703,201,0,0,0.0000,2445616
704,3,0,0,0.0000,2447696
705,201,0,0,0.0000,2448272
706,3,0,0,0.0000,2450147
707,201,0,0,0.0000,2450672
708,7,0,0,0.0000,2452522
709,201,0,0,0.0000,2453137
710,7,0,0,0.0000,2454963
711,202,0,0,0.0000,2455489
712,5,0,0,0.0000,2457322
713,201,0,0,0.0000,2457809
714,5,0,0,0.0000,2459772
715,201,0,0,0.0000,2460354
716,5,0,0,0.0000,2461980
717,201,0,0,0.0000,2462562
718,7,0,0,0.0000,2464397
719,202,0,0,0.0000,2464962
720,7,0,0,0.0000,2466880
721,201,0,0,0.0000,2467443
722,3,0,0,0.0000,2469322
723,202,0,0,0.0000,2469923
724,3,0,0,0.0000,2471864
725,201,0,0,0.0000,2472484
726,7,0,0,0.0000,2474322
727,202,0,0,0.0000,2474932
728,203,0,0,0.0000,2514298
729,3,0,0,0.0000,2519090
730,202,0,0,0.0000,2519835
731,5,0,0,0.0000,2521507
732,201,0,0,0.0000,2522059
733,7,0,0,0.0000,2523840
734,201,0,0,0.0000,2524315
735,3,0,0,0.0000,2526290
736,201,0,0,0.0000,2526988
737,3,0,0,0.0000,2528590
738,202,0,0,0.0000,2529036
739,5,0,0,0.0000,2531090
740,201,0,0,0.0000,2531404
741,5,0,0,0.0000,2533499
742,201,0,0,0.0000,2534221
743,5,0,0,0.0000,2536032
744,202,0,0,0.0000,2536717
745,5,0,0,0.0000,2538374
746,202,0,0,0.0000,2539181
747,7,0,0,0.0000,2540932
748,201,0,0,0.0000,2541518
749,7,0,0,0.0000,2543174
750,201,0,0,0.0000,2543742
751,5,0,0,0.0000,2545566
752,202,0,0,0.0000,2546366
